pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
472610,ST,49,26,cube4_cluster0,14.29,34.69,46.92999999999999,14.29,3.0045769688445874,14.29,26,cube4_cluster0,14.29,cube5_cluster0,12.24,cube67_cluster0,8.16
489446,FF,49,25,cube4_cluster0,14.29,30.61,44.88999999999999,14.29,2.997645088143335,14.29,25,cube4_cluster0,14.29,cube15_cluster1,8.16,cube14_cluster0,8.16
489446,FS,77,33,cube4_cluster0,10.39,24.67,35.050000000000004,10.39,3.276757667614197,10.39,33,cube4_cluster0,10.39,cube14_cluster0,7.79,cube5_cluster0,6.49
518397,SI,12,12,cube66_cluster0,8.33,24.990000000000002,41.65,8.33,2.4843126071174164,8.33,12,cube66_cluster0,8.33,cube43_cluster0,8.33,cube5_cluster0,8.33
518397,SL,36,21,cube4_cluster0,16.67,36.11,47.230000000000004,16.67,2.8478975560966955,16.67,21,cube4_cluster0,16.67,cube13_cluster0,11.11,cube22_cluster0,8.33
518585,FF,8,8,cube67_cluster0,12.5,37.5,62.5,12.5,2.0794415416798357,12.5,8,cube67_cluster0,12.5,cube5_cluster1,12.5,cube52_cluster1,12.5
518585,FS,64,31,cube4_cluster0,12.5,28.130000000000003,40.63,12.5,3.184727815022692,12.5,31,cube4_cluster0,12.5,cube5_cluster0,9.38,cube13_cluster0,6.25
518585,SI,24,16,cube5_cluster0,16.67,41.67,54.17,16.67,2.6012560116427412,16.67,16,cube5_cluster0,16.67,cube4_cluster0,16.67,cube14_cluster0,8.33
518585,SL,24,13,cube13_cluster0,16.67,45.84,66.67,16.67,2.3841243542199955,16.67,13,cube13_cluster0,16.67,cube5_cluster0,16.67,cube22_cluster0,12.5
519151,CH,16,13,cube5_cluster0,18.75,37.5,50.0,18.75,2.4799555205445176,18.75,13,cube5_cluster0,18.75,cube15_cluster1,12.5,cube14_cluster0,6.25
